name,location,mileage,price,Exterior color,interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,Accidents or damage,1-owner vehicle,Personal use only
2022 Lexus IS 500 F SPORT Performance,"1035 N Clark St Chicago, IL 60610","11,633 mi.","$56,888 ",Gray,Black,Rear-wheel Drive,17–25,Gasoline,8-Speed Automatic,5.0L V8 32V PDI DOHC,None reported,No,No
2021 Mercedes-Benz E-Class E 350,"1520 W North Ave Chicago, IL 60642","13,501 mi.","$43,492 $1,341 price drop",Polar White,Macchiato Beige,Rear-wheel Drive,22–31,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported,No,No
2023 Volkswagen Tiguan 2.0T S,"5330 W. Irving Park Road Chicago, IL 60641","2,132 mi.","$25,119 $876 price drop",Platinum Gray Metallic,Titan Black,All-wheel Drive,22–29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported,Yes,No
2023 Volkswagen Tiguan 2.0T SE R-Line Black,"5330 W. Irving Park Road Chicago, IL 60641","13,295 mi.","$29,154 $641 price drop",Deep Black Pearl Effect,Black,Front-wheel Drive,23–30,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported,Yes,No
2024 Toyota Corolla Hybrid LE,"6941 S. Western Ave Chicago, IL 60636",2 mi.,"$26,743 MSRP $27,043",Classic Silver Metallic,Black,Front-wheel Drive,53–46,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,,,
2023 Jeep Grand Cherokee Overland,"1140 Garfield St Oak Park, IL 60304","19,310 mi.","$47,990 $990 price drop",Velvet Red Pearlcoat,Global Black,Four-wheel Drive,19–26,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,None reported,Yes,No
2013 Volvo XC70 3.2 Platinum,"1140 Garfield St Oak Park, IL 60304","95,028 mi.","$16,990 $1,990 price drop",Seashell Metallic,Soft Beige,All-wheel Drive,18–24,Gasoline,6-Speed Automatic,3.2L I6 24V MPFI DOHC,None reported,Yes,No
2021 INFINITI QX80 Luxe,"2100 Harlem Ave North Riverside, IL 60546","55,423 mi.","$30,584 ",Liquid Platinum,Graphite,Four-wheel Drive,13–19,Gasoline,7-Speed Automatic,"5.6L V-8 gasoline direct injection, DOHC, VVEL variable valve co",None reported,Yes,No
2020 GMC Acadia SLT,"7400 W. Cermak North Riverside, IL 60546","76,106 mi.","$24,277 $100 price drop",Summit White,Jet Black,All-wheel Drive,21–27,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,None reported,Yes,No
2021 Honda Odyssey Touring,"6900 McCormick Blvd Lincolnwood, IL 60712","30,177 mi.","$33,600 ",Crystal Black Pearl,Gray,Front-wheel Drive,19–28,Gasoline,Automatic,"3.5L V-6 gasoline direct injection, i-VTEC variable valve contro",None reported,Yes,Yes
2018 Hyundai IONIQ Hybrid SEL,"3340 Oakton St Skokie, IL 60076","21,451 mi.","$18,408 $364 price drop",Electric Blue Metallic,Black,Front-wheel Drive,55–54,Hybrid,6-Speed Automatic with Auto-Shift,1.6L I4 16V GDI DOHC Hybrid,At least 1 accident or damage reported,Yes,No
2013 Subaru BRZ 2.0 PREMIUM,"7405 S. Harlem Bridgeview, IL 60455","177,493 mi.","$8,995 ",BLUE,Black,Rear-wheel Drive,25–0,Gasoline,Automatic,"2L H-4 port/direct injection, DOHC, variable valve control, prem",At least 1 accident or damage reported,No,No
2022 Toyota Highlander XLE,"4320 W 95th St Oak Lawn, IL 60453","22,212 mi.","$39,856 $639 price drop",White,Black,All-wheel Drive,20–27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,None reported,Yes,No
2016 Chevrolet Tahoe LT,,"45,374 mi.","$30,895 $2,605 price drop",Siren Red Tintcoat,Black,Four-wheel Drive,16–22,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,,,
2021 Cadillac Escalade Sport,,,,,,,,,,,,,
2020 Acura RDX Base,,,,,,,,,,,,,
2013 MINI Convertible Cooper S,"101 N Wolf Rd Hillside, IL 60162","36,897 mi.","$17,998 ",Blue,Black,Front-wheel Drive,26–35,Gasoline,6-Speed Automatic,1.6L I4 16V GDI DOHC Turbo,None reported,Yes,Yes
2021 Audi Q7 45 Premium Plus,"101 N Wolf Rd Hillside, IL 60162","39,732 mi.","$39,998 ",Orca Black Metallic,Black,AWD,19–23,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported,Yes,Yes
2020 Ford Explorer Limited,"101 N Wolf Rd Hillside, IL 60162","30,997 mi.","$28,998 $1,000 price drop",Green,Tan,Rear-wheel Drive,21–28,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,None reported,Yes,Yes
2023 Jeep Grand Cherokee Summit,"5859 South La Grange Road Countryside, IL 60525","12,870 mi.","$56,066 $498 price drop",Bright White Clearcoat,Global Black,Four-wheel Drive,19–26,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,None reported,No,No
2019 Chevrolet Corvette Grand Sport,,,,,,,,,,,,,
2022 Jeep Grand Wagoneer Series III,"6201 South La Grange Road Hodgkins, IL 60525","44,245 mi.","$65,898 $2,101 price drop",Bright White Clearcoat,Tupelo,Four-wheel Drive,13–18,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,None reported,Yes,No
2022 Subaru Ascent Onyx Edition,"6191 Joliet Rd Countryside, IL 60525","54,454 mi.","$30,999 $400 price drop",Crystal White Pearl,Gray,All-wheel Drive,20–26,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,None reported,Yes,No
2021 Tesla Model X Long Range,"336 E Ogden Ave Hinsdale, IL 60521","40,616 mi.","$50,497 $1,948 price drop",Pearl White Multi,Black,All-wheel Drive,,Electric,5YJXCBE2XMF319604,C2316P,None reported,Yes,No
2021 Land Rover Range Rover Sport HSE Silver Edition,"336 E Ogden Ave Hinsdale, IL 60521","26,819 mi.","$56,997 $980 price drop",Santorini Black,Ebony,Four-wheel Drive,19–24,Gasoline,Automatic,V6,At least 1 accident or damage reported,Yes,No
2022 Tesla Model 3 Base,"2170 S Mannheim Rd Des Plaines, IL 60018","64,761 mi.","$24,091 ",Deep Blue,–,Rear-wheel Drive,Automatic,Electric,5YJ3E1EA3NF190228,55870,None reported,Yes,Yes
2010 Honda CR-V EX-L,"1509 S River Rd Des Plaines, IL 60018","150,247 mi.","$8,988 ",Crystal Black Pearl,Black,Four-wheel Drive,21–27,Gasoline,5-Speed Automatic,2.4L I4 16V MPFI DOHC,At least 1 accident or damage reported,Yes,No
2020 Mazda Mazda3 AWD w/Preferred Package,"200 W Grand Ave Elmhurst, IL 60126","29,830 mi.","$22,903 $1,595 price drop",Machine Gray Metallic,Black,All-wheel Drive,24–32,Gasoline,Automatic,"SKYACTIV-G 2.5L I-4 gasoline direct injection, DOHC, variable va",None reported,Yes,No
2021 Porsche Panamera 4,,"9,860 mi.","$81,987 $347 price drop",,,,,,,,,,
2021 Jeep Wrangler Willys,"200 W Grand Ave Elmhurst, IL 60126","50,989 mi.","$33,199 $296 price drop",Granite Crystal Metallic Clearcoat,Black,Four-wheel Drive,21–24,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, intercooled turbo, premi",At least 1 accident or damage reported,Yes,No
2020 Genesis G70 3.3T RWD,"200 W Grand Ave Elmhurst, IL 60126","37,391 mi.","$28,497 $418 price drop",Himalayan Gray,Black w/Gray Stitching,Rear-wheel Drive,17–26,Gasoline,Automatic,"Lambda 3.3L V-6 gasoline direct injection, DOHC, D-CVVT variable",At least 1 accident or damage reported,No,No
2023 Jeep Grand Cherokee L Summit Reserve,"200 W Grand Ave Elmhurst, IL 60126","9,716 mi.","$62,990 ",Diamond Black Crystal Pearlcoat,Global Black,Four-wheel Drive,18–25,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, regular unleade",None reported,Yes,No
2023 Ford F-150 Raptor,"200 W Grand Ave Elmhurst, IL 60126","7,230 mi.","$77,944 ",Oxford White,Black,Four-wheel Drive,15–16,Gasoline,Automatic,"EcoBoost 3.5L V-6 port/direct injection, DOHC, variable valve co",None reported,No,No
2020 Lincoln MKZ Reserve,"1610 N Waukegan Rd Glenview, IL 60025","26,077 mi.","$29,609 ",Infinite Black Metallic,Ebony,All-wheel Drive,20–29,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported,Yes,Yes
2023 BMW X7 xDrive40i,"500 West Lake Street Elmhurst, IL 60126","29,833 mi.","$70,992 $2,500 price drop",White Metallic,Black,All-wheel Drive,21–25,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,None reported,Yes,No
2017 Volkswagen Passat 1.8T S,"2038 Waukegan Rd Glenview, IL 60025","83,661 mi.","$11,695 $300 price drop",Pure White,Titan Black,Front-wheel Drive,23–34,Gasoline,6-Speed Automatic,1.8L I4 16V GDI DOHC Turbo,None reported,No,No
